日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2026/6/2,L266154,其他,已結案,OP-144,已回報,研發,順發,168,49.74
0625,L269555,其他,合格,OP-136,,品保,大宏,167,25.35
7月3日,L262915,C 類,,OP-117,待確認,製造,力鋼,87,29.0
2026/7/22,L264641,C 類,不合格,OP-143,,營運,永利,77,58.16
0601,L263993,C 類,待處理,OP-145,,資材,捷欣,125,85.48
6月17日,L263451,其他,已結案,OP-125,,資材,順發,26,76.92
2026/6/27,L269178,其他,,OP-143,,資材,東昇,62,77.54
6月6日,L263646,B 類,已結案,OP-126,,製造,大宏,230,54.13
2026/7/2,L260383,其他,待處理,OP-127,,營運,東昇,5,40.62
7月8日,L266720,A 類,合格,OP-142,,營運,永利,229,76.78
6月11日,L261489,A 類,合格,OP-137,待確認,資材,東昇,194,18.36
0712,L263041,其他,,OP-125,已回報,資材,大宏,8,90.95
0622,L266664,A 類,待處理,OP-139,,製造,永利,77,66.59
6月17日,L265684,其他,合格,OP-114,,資材,大宏,231,69.44
6月17日,L269379,其他,不合格,OP-136,已回報,品保,順發,109,54.43
2026/7/21,L266986,C 類,待處理,OP-139,已回報,研發,力鋼,171,59.52
6月22日,L261988,其他,不合格,OP-110,,製造,力鋼,202,86.64
0728,L261791,C 類,,OP-102,待確認,營運,力鋼,184,32.65
2026/6/11,L264234,C 類,合格,OP-125,,營運,力鋼,86,78.17
0609,L262078,其他,,OP-134,,研發,力鋼,225,73.18
2026/7/14,L263616,B 類,待處理,OP-123,,資材,捷欣,182,74.87
7月7日,L260656,其他,,OP-110,,品保,捷欣,198,94.09
7月25日,L267952,其他,不合格,OP-140,,營運,大宏,126,54.22
2026/7/27,L264631,其他,不合格,OP-136,,資材,順發,120,78.24
2026/6/4,L269678,C 類,,OP-145,已回報,營運,東昇,111,74.84
6月29日,L269627,A 類,不合格,OP-102,,製造,永利,142,8.29
0620,L262566,其他,不合格,OP-119,待確認,營運,大宏,3,77.45
0705,L265183,其他,已結案,OP-139,待確認,資材,力鋼,208,9.97
6月4日,L269240,C 類,不合格,OP-134,,資材,力鋼,191,82.3
0703,L266078,B 類,,OP-120,,製造,順發,214,0.98
0708,L269386,A 類,合格,OP-123,,製造,順發,207,77.99
0726,L264995,C 類,,OP-137,,資材,力鋼,179,27.25
7月2日,L265722,C 類,不合格,OP-121,,營運,大宏,95,18.76
0626,L263815,C 類,不合格,OP-141,,製造,力鋼,209,35.39
6月22日,L266621,C 類,,OP-119,已回報,品保,力鋼,37,76.22
2026/7/15,L261324,C 類,,OP-121,已回報,資材,捷欣,29,56.66
0714,L267485,C 類,合格,OP-128,待確認,研發,力鋼,217,61.8
7月19日,L265211,B 類,待處理,OP-131,,營運,東昇,53,40.45
7月24日,L269115,B 類,不合格,OP-130,,品保,大宏,140,43.68
0613,L267292,B 類,已結案,OP-118,待確認,研發,順發,209,48.86
2026/6/16,L267671,A 類,已結案,OP-116,,資材,大宏,113,82.52
0713,L267038,其他,不合格,OP-119,,品保,捷欣,108,4.79
0704,L260278,B 類,,OP-108,已回報,營運,東昇,93,31.56
7月18日,L261397,C 類,已結案,OP-102,,營運,順發,19,48.88
