日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2025-07-07,L268876,A 類,待處理,OP-102,,營運,永利,227,73.19
2025-06-16,L269442,B 類,合格,OP-123,已回報,研發,力鋼,207,3.9
2025-07-20,L266761,B 類,不合格,OP-102,,製造,捷欣,146,29.47
2025-07-08,L267920,其他,不合格,OP-134,已回報,製造,永利,218,9.75
2025-07-06,L264932,其他,已結案,OP-121,,營運,力鋼,75,60.53
2025-06-16,L269799,其他,已結案,OP-139,,資材,永利,92,90.22
2025-07-15,L263962,B 類,已結案,OP-144,待確認,營運,順發,235,89.57
2025-07-11,L260398,C 類,已結案,OP-119,待確認,研發,順發,2,77.92
2025-07-17,L261356,其他,待處理,OP-147,,資材,東昇,109,42.28
2025-06-10,L263290,A 類,已結案,OP-131,,品保,順發,47,37.26
2025-07-04,L262618,A 類,不合格,OP-131,,製造,捷欣,165,81.32
2025-07-02,L262323,B 類,合格,OP-142,,研發,東昇,104,46.8
2025-06-20,L260319,B 類,合格,OP-106,,資材,大宏,234,45.29
2025-07-23,L265086,A 類,合格,OP-140,,品保,大宏,175,29.44
2025-07-18,L263122,B 類,合格,OP-142,,研發,捷欣,10,50.48
2025-06-30,L263610,其他,已結案,OP-108,,品保,順發,210,91.63
2025-07-16,L266211,B 類,待處理,OP-108,,研發,永利,106,9.72
2025-07-04,L261692,其他,合格,OP-115,已回報,研發,永利,79,87.13
2025-06-22,L269855,C 類,已結案,OP-138,已回報,製造,大宏,88,2.05
2025-06-04,L261593,其他,合格,OP-136,,資材,順發,23,76.58
2025-06-27,L269459,C 類,不合格,OP-142,待確認,品保,力鋼,240,58.23
2025-07-14,L268242,B 類,已結案,OP-115,已回報,營運,大宏,90,18.48
2025-06-28,L262832,其他,不合格,OP-127,,研發,永利,178,56.15
2025-07-03,L261135,C 類,不合格,OP-112,,製造,東昇,44,78.05
2025-06-03,L267519,其他,待處理,OP-106,,營運,永利,236,76.71
2025-07-01,L260463,A 類,待處理,OP-105,,品保,東昇,79,54.61
2025-07-27,L262816,其他,合格,OP-141,,研發,捷欣,7,59.86
2025-06-15,L261144,C 類,待處理,OP-147,,營運,東昇,132,7.23
2025-07-18,L264599,B 類,不合格,OP-139,待確認,資材,力鋼,75,83.71
2025-07-24,L265739,C 類,合格,OP-104,已回報,營運,捷欣,196,90.48
2025-07-12,L260694,C 類,已結案,OP-101,待確認,研發,永利,31,75.34
2025-07-27,L267127,其他,不合格,OP-138,已回報,研發,力鋼,40,97.95
2025-06-18,L264861,A 類,不合格,OP-136,,資材,東昇,13,95.37
2025-06-11,L260671,A 類,已結案,OP-112,已回報,營運,東昇,196,46.71
2025-06-16,L266332,其他,待處理,OP-112,已回報,資材,永利,236,76.15
2025-06-05,L264157,A 類,已結案,OP-133,待確認,營運,力鋼,216,33.56
2025-07-22,L268222,其他,合格,OP-128,已回報,品保,東昇,45,15.29
2025-06-08,L265655,B 類,已結案,OP-113,,品保,大宏,183,26.29
2025-06-22,L261164,B 類,待處理,OP-131,,營運,永利,125,31.1
2025-06-04,L269191,其他,不合格,OP-112,,研發,順發,123,91.6
2025-06-26,L262983,其他,不合格,OP-140,已回報,營運,順發,219,89.2
2025-06-05,L267785,A 類,待處理,OP-110,,營運,捷欣,83,30.67
2025-06-21,L262514,A 類,合格,OP-121,,製造,順發,119,16.51
2025-06-18,L261264,其他,不合格,OP-132,,營運,捷欣,176,36.95
2025-07-23,L260753,C 類,已結案,OP-144,待確認,營運,永利,166,25.04
2025-06-23,L260058,C 類,合格,OP-112,,營運,東昇,42,50.45
2025-06-22,L262099,C 類,待處理,OP-117,已回報,營運,大宏,10,78.76
2025-06-10,L263319,其他,已結案,OP-134,,品保,捷欣,172,23.82
2025-06-16,L265877,其他,已結案,OP-128,,資材,捷欣,22,7.08
2025-07-23,L267569,C 類,合格,OP-144,,研發,永利,59,87.84
2025-06-08,L260117,其他,待處理,OP-137,待確認,製造,順發,119,49.53
2025-07-10,L266873,B 類,合格,OP-146,,製造,大宏,31,15.85
2025-06-19,L266451,其他,待處理,OP-137,,資材,捷欣,166,16.97
2025-06-24,L266720,C 類,已結案,OP-115,,營運,順發,171,51.25
2025-06-07,L267336,其他,不合格,OP-118,,研發,大宏,225,31.5
